SETTLEMENTDATE;PRICE/GIGA_WATT
04/06/2020 10:00;4.571660559
04/06/2020 10:30;4.423338948
04/06/2020 11:00;4.556187041
04/06/2020 11:30;4.66494664
04/06/2020 12:00;4.608165031
04/06/2020 12:30;4.770910502
04/06/2020 13:00;4.711725469
04/06/2020 13:30;4.176859745
04/06/2020 14:00;4.837796658
04/06/2020 14:30;4.754111137
04/06/2020 15:00;4.521278873
04/06/2020 15:30;4.56006462
04/06/2020 16:00;4.507653369
04/06/2020 16:30;4.203124847
04/06/2020 17:00;5.435746661
04/06/2020 17:30;5.961402924
04/06/2020 18:00;17.28380206
04/06/2020 18:30;16.35158805
04/06/2020 19:00;6.794191088
04/06/2020 19:30;5.559048647
04/06/2020 20:00;4.910990622
04/06/2020 20:30;5.253063026
04/06/2020 21:00;5.167607658
04/06/2020 21:30;5.099487836
04/06/2020 22:00;4.946744137
04/06/2020 22:30;5.213929759
04/06/2020 23:00;4.821568028
04/06/2020 23:30;4.712621189
05/06/2020 00:00;4.626731435
05/06/2020 00:30;4.601049498
05/06/2020 01:00;4.608615878
05/06/2020 01:30;5.105189064
05/06/2020 02:00;4.988016625
05/06/2020 02:30;5.169149288
05/06/2020 03:00;5.519798171
05/06/2020 03:30;5.653978218
05/06/2020 04:00;5.659286953
05/06/2020 04:30;5.857420297
05/06/2020 05:00;5.410287106
05/06/2020 05:30;5.117802509
05/06/2020 06:00;5.241646087
05/06/2020 06:30;5.531904519
05/06/2020 07:00;14.85896738
05/06/2020 07:30;6.239194922
05/06/2020 08:00;20.407947
05/06/2020 08:30;18.53469518
05/06/2020 09:00;5.292352917
05/06/2020 09:30;5.9308411
05/06/2020 10:00;4.602669093
05/06/2020 10:30;5.189276846
05/06/2020 11:00;4.762611224
05/06/2020 11:30;4.709146663
05/06/2020 12:00;4.800870158
05/06/2020 12:30;4.88778093
05/06/2020 13:00;5.00482968
05/06/2020 13:30;5.034494879
05/06/2020 14:00;5.012667271
05/06/2020 14:30;4.974082274
05/06/2020 15:00;4.973091165
05/06/2020 15:30;4.874465213
05/06/2020 16:00;4.834556527
05/06/2020 16:30;4.597474936
05/06/2020 17:00;6.489787924
05/06/2020 17:30;9.747979782
05/06/2020 18:00;15.38987207
05/06/2020 18:30;7.361306921
05/06/2020 19:00;5.723337451
05/06/2020 19:30;5.377185167
05/06/2020 20:00;4.809355888
05/06/2020 20:30;5.636272915
05/06/2020 21:00;5.45418803
05/06/2020 21:30;4.972838516
05/06/2020 22:00;4.566676962
05/06/2020 22:30;6.457661657
05/06/2020 23:00;5.145545589
05/06/2020 23:30;5.110639249
06/06/2020 00:00;4.852296239
06/06/2020 00:30;5.168737198
06/06/2020 01:00;4.9583014
06/06/2020 01:30;4.77449016
06/06/2020 02:00;4.961370018
06/06/2020 02:30;5.394112212
06/06/2020 03:00;5.493508742
06/06/2020 03:30;5.500437389
06/06/2020 04:00;5.558500765
06/06/2020 04:30;5.595359349
06/06/2020 05:00;5.600538631
06/06/2020 05:30;5.555944461
06/06/2020 06:00;5.561364683
06/06/2020 06:30;5.296038943
06/06/2020 07:00;5.450807443
06/06/2020 07:30;4.990031888
06/06/2020 08:00;5.197572571
06/06/2020 08:30;5.333483169
06/06/2020 09:00;4.91977234
06/06/2020 09:30;4.630805009
06/06/2020 10:00;4.529854896
06/06/2020 10:30;4.725458144
06/06/2020 11:00;4.960862157
06/06/2020 11:30;5.170728546
06/06/2020 12:00;5.545627243
06/06/2020 12:30;5.569627479
06/06/2020 13:00;5.657340066
06/06/2020 13:30;5.718294782
06/06/2020 14:00;7.38933246
06/06/2020 14:30;5.625166698
